43849,8,2011-07-01 00:00:00.000,2011-07-13 00:00:00.000,2011-07-08 00:00:00.000,5,0,SO43849,PO18676186169,10-4020-000697,29818,274,1,1104,1104,5,14559,55256Vi75492,NULL,20544.7015,1969.9765,615.6177,23130.2957,NULL,F4C65AD3-DC9E-46CF-98BA-8EDA6C166335,2011-07-08 00:00:00.000
44492,8,2011-10-01 00:00:00.000,2011-10-13 00:00:00.000,2011-10-08 00:00:00.000,5,0,SO44492,PO18676158978,10-4020-000697,29818,276,1,1104,1104,5,14559,55266Vi75492,NULL,67458.9556,6486.0468,2026.8896,75971.892,NULL,FB3B8CD1-8ED8-4CDB-8598-7FF98F1FF6CB,2011-10-08 00:00:00.000
45274,8,2012-01-01 00:00:00.000,2012-01-13 00:00:00.000,2012-01-08 00:00:00.000,5,0,SO45274,PO18676111897,10-4020-000697,29818,276,1,1104,1104,5,14559,55254Vi75492,NULL,66993.8289,6430.8154,2009.6298,75434.2741,NULL,832191A7-1967-4B8F-BE1A-9E8865FABA98,2012-01-08 00:00:00.000
46032,8,2012-03-30 00:00:00.000,2012-04-11 00:00:00.000,2012-04-06 00:00:00.000,5,0,SO46032,PO18676118909,10-4020-000697,29818,276,1,1104,1104,5,14559,55268Vi75492,NULL,30998.073,2976.8317,930.2599,34905.1646,NULL,E0D6C341-E0E6-45A7-A124-B041F1C0E786,2012-04-06 00:00:00.000
46944,8,2012-06-30 00:00:00.000,2012-07-12 00:00:00.000,2012-07-07 00:00:00.000,5,0,SO46944,PO18676186070,10-4020-000697,29818,276,1,1104,1104,5,14559,55281Vi75492,NULL,77342.8571,7494.2421,2341.9507,87179.0499,NULL,E3C82DB0-31D3-4BBF-8304-EC4CFF882936,2012-07-07 00:00:00.000
47970,8,2012-09-30 00:00:00.000,2012-10-12 00:00:00.000,2012-10-07 00:00:00.000,5,0,SO47970,PO18676198287,10-4020-000697,29818,276,1,1104,1104,5,14559,55255Vi75492,NULL,72224.6384,6958.0137,2174.3793,81357.0314,NULL,6E5FE897-4A6E-4BA4-A584-C178F384BE0F,2012-10-07 00:00:00.000
49095,8,2012-12-31 00:00:00.000,2013-01-12 00:00:00.000,2013-01-07 00:00:00.000,5,0,SO49095,PO18676116817,10-4020-000697,29818,276,1,1104,1104,5,14559,57849Vi75492,NULL,66265.3313,6443.3243,2013.5388,74722.1944,NULL,E41D60C1-AB4F-4CFF-96A8-C65B9BC83C62,2013-01-07 00:00:00.000
50270,8,2013-03-30 00:00:00.000,2013-04-11 00:00:00.000,2013-04-06 00:00:00.000,5,0,SO50270,PO18676112371,10-4020-000697,29818,276,1,1104,1104,5,14559,57763Vi75492,NULL,78041.5646,7537.4736,2355.4605,87934.4987,NULL,FB0860E3-AC09-4C48-A501-30EAB5C269B6,2013-04-06 00:00:00.000
51783,8,2013-06-30 00:00:00.000,2013-07-12 00:00:00.000,2013-07-07 00:00:00.000,5,0,SO51783,PO18676114917,10-4020-000697,29818,276,1,1104,1104,5,14559,57564Vi75492,NULL,107270.1188,10427.2505,3258.5158,120955.8851,NULL,4541B031-0DE5-4D91-8765-8FF8E388F778,2013-07-07 00:00:00.000
57105,8,2013-09-30 00:00:00.000,2013-10-12 00:00:00.000,2013-10-07 00:00:00.000,5,0,SO57105,PO18676113963,10-4020-000697,29818,276,1,1104,1104,5,14559,57399Vi75492,NULL,110050.8354,10818.024,3380.6325,124249.4919,NULL,AB48AE5C-33E5-4C59-871C-8C3442C77478,2013-10-07 00:00:00.000
63131,8,2013-12-31 00:00:00.000,2014-01-12 00:00:00.000,2014-01-07 00:00:00.000,5,0,SO63131,PO18676136384,10-4020-000697,29818,276,1,1104,1104,5,14559,55259Vi75492,NULL,86975.0655,8345.5531,2607.9853,97928.6039,NULL,FAB1FEA0-EB09-4F7F-BA7D-E46C15B2B559,2014-01-07 00:00:00.000
69471,8,2014-03-31 00:00:00.000,2014-04-12 00:00:00.000,2014-04-07 00:00:00.000,5,0,SO69471,PO18676191433,10-4020-000697,29818,276,1,1104,1104,5,14559,56949Vi75492,NULL,92941.2222,9504.3643,2970.1138,105415.7003,NULL,A5D7FAA8-1BF9-4944-954A-EB5A170F4476,2014-04-07 00:00:00.000
